piece,run,mae,mape,wape,r2
4848A5050,9,56.85021209716797,11.700909,13.050264,0.9512314796447754
4848A5050,10,104.47638702392578,24.252186,23.9831,0.7675439715385437
4851D5021,1,17.774044036865234,16.66957,7.425188,0.9908403754234314
4851D5021,2,52.263484954833984,25.14193,21.83331,0.9019061923027039
4851D5021,3,81.02779388427734,36.067017,33.84973,0.7134953141212463
4851D5021,4,40.54542541503906,24.981565,16.938036,0.9387413263320923
4851D5021,5,64.88294219970703,34.98811,27.105146,0.8772921562194824
4851D5021,6,45.54021453857422,24.70662,19.024633,0.9227203130722046
4851D5021,7,20.947450637817383,15.833616,8.750894,0.9821804165840149
4851D5021,8,23.573406219482422,17.27366,9.8478985,0.9817277193069458
4851D5021,9,42.58639907836914,24.761654,17.790663,0.9357300996780396
4851D5021,10,20.853591918945312,18.699806,8.711683,0.9852726459503174
4859C3020,1,5.659900665283203,8.113097,4.4174833,0.9966489672660828
4859C3020,2,7.9976701736450195,8.032372,6.242084,0.9910790324211121
4859C3020,3,10.651264190673828,10.731466,8.313182,0.9846433401107788
4859C3020,4,21.524459838867188,21.081017,16.799578,0.9312628507614136
4859C3020,5,7.278512001037598,11.4006815,5.68079,0.9927734732627869
4859C3020,6,15.013189315795898,20.154848,11.71761,0.9789365530014038
4859C3020,7,34.5928955078125,34.827976,26.999334,0.8589258193969727
4859C3020,8,12.82505989074707,10.779856,10.009803,0.974264919757843
4859C3020,9,12.89078140258789,14.176939,10.061098,0.9682132005691528
4859C3020,10,19.413591384887695,18.488968,15.152071,0.9282029271125793
4848A5010,1,55.60003662109375,20.256836,15.686531,0.9534972310066223
4848A5010,2,55.42585754394531,19.05233,15.637389,0.9541692137718201
4848A5010,3,52.49345016479492,18.88821,14.810064,0.951630175113678
4848A5010,4,81.55450439453125,27.100267,23.009108,0.8709703683853149
4848A5010,5,128.7320098876953,34.22686,36.319378,0.6611642837524414
4848A5010,6,59.58562469482422,25.747124,16.810991,0.946816623210907
4848A5010,7,43.96470642089844,17.667215,12.403835,0.9753178358078003
4848A5010,8,56.46576690673828,17.879614,15.93078,0.9406841397285461
4848A5010,9,57.60536575317383,22.873518,16.252296,0.9369344115257263
4848A5010,10,40.491268157958984,17.114323,11.423869,0.9649629592895508
4821C3050,1,73.07804107666016,62.04548,45.961025,0.6853681802749634
4821C3050,2,29.410058975219727,32.081364,18.49689,0.9393073916435242
4821C3050,3,40.26338195800781,40.766445,25.322878,0.8967210054397583
4821C3050,4,40.982093811035156,36.770943,25.774899,0.8589886426925659
4821C3050,5,38.530479431152344,40.506493,24.233002,0.9162522554397583
4821C3050,6,28.551151275634766,34.780155,17.956696,0.9305917024612427
4821C3050,7,38.763423919677734,41.39124,24.379509,0.9132710695266724
4821C3050,8,23.360246658325195,28.954268,14.6919775,0.9585292935371399
4821C3050,9,41.13356399536133,34.82471,25.870163,0.8677733540534973
4821C3050,10,31.160907745361328,36.19775,19.598051,0.935355007648468
4848A5020,1,33.41111755371094,18.826502,12.529169,0.9718055129051208
4848A5020,2,11.941595077514648,11.020479,4.478099,0.9968360662460327
4848A5020,3,22.79645538330078,16.218254,8.548671,0.9905000329017639
4848A5020,4,28.137189865112305,18.069279,10.551448,0.9857379794120789
4848A5020,5,91.08688354492188,37.55874,34.15758,0.7511199116706848
4848A5020,6,103.15544128417969,39.003033,38.683296,0.6715052723884583
4848A5020,7,96.52346801757812,41.045895,36.19631,0.7220475077629089
4848A5020,8,76.24113464355469,35.022705,28.59043,0.8642480373382568
4848A5020,9,88.1924819946289,34.640335,33.072186,0.7835847735404968
4848A5020,10,62.33195114135742,28.433094,23.374483,0.896816611289978
4859C3010,1,19.139360427856445,102.9288,18.929037,0.9207911491394043
4859C3010,2,17.77695083618164,95.239044,17.5816,0.9153779745101929
4859C3010,3,20.86539077758789,92.153465,20.6361,0.8907691240310669
4859C3010,4,15.737008094787598,97.829094,15.564074,0.9263757467269897
4859C3010,5,15.006404876708984,95.837906,14.8415,0.9272902607917786
4859C3010,6,18.92237663269043,93.992874,18.714437,0.9205822944641113
4859C3010,7,13.881271362304688,91.168076,13.72873,0.9363294839859009
4859C3010,8,22.49745750427246,93.91102,22.250233,0.8970097303390503
4859C3010,9,14.291646003723145,93.20356,14.134595,0.9289040565490723
4859C3010,10,13.125029563903809,92.84545,12.980798,0.9347250461578369
